Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	GAS	GAS_RE	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	H2_RE	AMMONIA	METHANOL	AMMONIA_RE	METHANOL_RE	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATM	CO2_INDUSTRY	CO2_CAPTURED	PT_HEAT	ST_HEAT	NUCLEAR	CCGT	CCGT_AMMONIA	COAL_US	COAL_IGCC	BIOMASS_TO_POWER	PV_ROOFTOP	PV_UTILITY	PT_POWER_BLOCK	ST_POWER_BLOCK	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_DAM	HYDRO_RIVER	TIDAL	WAVE	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	COAL_STOVE	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	DEC_THHP_GAS_COLD	DEC_ELEC_COLD	IND_ELEC_COLD	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_GASOLINE	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	MOTORCYCLE	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	MOTORCYCLE_ELECTRIC	CAR_BEV	CAR_FUEL_CELL	TRAIN_FREIGHT	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRUCK_DIESEL	TRUCK_GASOLINE	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	HABER_BOSCH	OIL_TO_HVC	GAS_TO_HVC	BIOMASS_TO_HVC	METHANOL_TO_HVC	SYN_METHANOLATION	METHANE_TO_METHANOL	BIOMASS_TO_METHANOL	EFFICIENCY	DHN	GRID	HVAC_LINE	PT_COLLECTOR	ST_COLLECTOR	H2_ELECTROLYSIS	SMR	H2_BIOMASS	GASIFICATION_SNG	SYN_METHANATION	BIOMETHANATION	BIO_HYDROLYSIS	PYROLYSIS_TO_LFO	PYROLYSIS_TO_FUELS	ATM_CCS	INDUSTRY_CCS	AMMONIA_TO_H2	DAM_STORAGE_Pin	DAM_STORAGE_Pout	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_COAL_STOVE_Pin	TS_COAL_STOVE_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	PT_STORAGE_Pin	PT_STORAGE_Pout	ST_STORAGE_Pin	ST_STORAGE_Pout	TS_COLD_Pin	TS_COLD_Pout	CAES_Pin	CAES_Pout	END_USE	
 1 	 1														0.000000	0.000000																																																										-0.000001																										-0.000000								-14.937473			-0.000000					-0.000001									7.093630	7.843388	0.000000		-0.000000							0.000002																																									-0.000001	0.000455																					0.000000	
 1 	 2														0.000000	0.000000																																																										-0.000001																										-0.000000								-14.937473			-0.000000					-0.000001									5.739987	7.843388	0.000000		-0.000000							0.000002																																									-0.000001	1.354099																					0.000000	
 1 	 3														0.000000	0.000000																																																										-0.000001																										-0.000000								-14.937473			-0.000000					-0.000001									9.656802	7.843388	0.000000		-0.000000							0.000002																																									-2.562717	0.000001																					0.000000	
 1 	 4														0.000000	0.000000																																																										-0.000001																										-0.000000								-14.937473			-0.000000					-0.000001									14.579548	7.843388	0.000000		-0.000000							0.000002																																									-7.485464	0.000001																					0.000000	
 1 	 5														0.000000	0.000000																																																										-0.000001																										-0.000000								-14.937473			-0.000000					-0.000001									7.566670	7.843388	0.000000		-0.000000							0.000002																																									-0.472586	0.000001																					0.000000	
 1 	 6														0.000000	0.000000																																																										-0.000001																										-0.000000								-14.937473			-0.000000					-0.000001									7.094079	7.843388	0.000000		-0.000000							0.000002																																									-0.000002	0.000006																					0.000000	
 1 	 7														0.000000	0.000000																																																										-0.000001																										-0.000000								-14.937473			-0.000000					-0.000001									7.094079	7.843388	0.000000		-0.000000							0.000002																																									-0.000002	0.000007																					0.000000	
 1 	 8														0.000000	0.000000																																																										-0.000001																										-0.000000								-14.937473			-0.000000					-0.000001									7.094082	7.843388	0.000000		-0.000000							0.000002																																									-0.000002	0.000004																					0.000000	
 1 	 9														0.000000	0.000000																																																										-0.000001																										-0.000000								-14.937473			-0.000000					-0.000001									7.094081	7.843388	0.000000		-0.000000							0.000002																																									-0.000001	0.000004																					0.000000	
 1 	 10														0.000000	0.000000																																																										-0.000001																										-0.000000								-14.937473			-0.000000					-0.000001									10.757610	7.843388	0.000000		-0.000000							0.000002																																									-3.663527	0.000001																					0.000000	
 1 	 11														0.000000	0.000000																																																										-0.000000																										-0.000000								-14.937473			-0.000000					-0.000001									15.110996	7.843388	0.000000		-0.000000							0.000002																																									-8.016913	0.000001																					0.000000	
 1 	 12														0.000000	0.000000																																																										-0.000000																										-0.000000								-14.937473			-0.000000					-0.000001									15.110996	7.843388	0.000000		-0.000000							0.000002																																									-8.016913	0.000001																					0.000000	
 1 	 13														0.000000	0.000000																																																										-0.000000																										-0.000000								-14.937473			-0.000000					-0.000001									15.110996	7.843388	0.000000		-0.000000							0.000002																																									-8.016913	0.000001																					0.000000	
 1 	 14														0.000000	0.000000																																																										-0.000000																										-0.000000								-14.937473			-0.000000					-0.000001									15.110996	7.843388	0.000000		-0.000000							0.000002																																									-8.016913	0.000001																					0.000000	
 1 	 15														0.000000	0.000000																																																										-0.000000																										-0.000000								-14.937473			-0.000000					-0.000001									15.110996	7.843388	0.000000		-0.000000							0.000002																																									-8.016912	0.000001																					0.000000	
 1 	 16														0.000000	0.000000																																																										-0.000001																										-0.000000								-14.937473			-0.000000					-0.000001									15.110995	7.843388	0.000000		-0.000000							0.000002																																									-8.016911	0.000001																					0.000000	
 1 	 17														0.000000	0.000000																																																										-0.000001																										-0.000000								-14.937473			-0.000000					-0.000000									3.604460	7.843388	0.000000		-0.000000							0.000003																																									-0.000001	3.489624																					0.000000	
 1 	 18														0.000000	0.000000																																																										-0.000001																										-0.000000								-14.937473			-0.000000					-0.000000									0.000016	7.843388	0.000000		-0.000000							0.000003																																									-0.000001	7.094069																					0.000000	
 1 	 19														0.000000	0.000000																																																										-0.000001																										-0.000000								-14.937473			-0.000000					-0.000000									0.000014	7.843388	0.000000		-0.000000							0.000003																																									-0.000001	7.094071																					0.000000	
 1 	 20														0.000000	0.000000																																																										-0.000001																										-0.000000								-14.937473			-0.000000					-0.000000									0.000014	7.843388	0.000000		-0.000000							0.000003																																									-0.000001	7.094070																					0.000000	
 1 	 21														0.000000	0.000000																																																										-0.000001																										-0.000000								-14.937473			-0.000000					-0.000000									0.000015	7.843388	0.000000		-0.000000							0.000003																																									-0.000001	7.094070																					0.000000	
 1 	 22														0.000000	0.000000																																																										-0.000001																										-0.000000								-14.937473			-0.000000					-0.000000									0.000015	7.843388	0.000000		-0.000000							0.000003																																									-0.000001	7.094070																					0.000000	
 1 	 23														0.000000	0.000000																																																										-0.000001																										-0.000000								-14.937473			-0.000000					-0.000000									0.000014	7.843388	0.000000		-0.000000							0.000003																																									-0.000001	7.094070																					0.000000	
 1 	 24														0.000000	0.000000																																																										-0.000001																										-0.000000								-14.937473			-0.000000					-0.000000									0.000014	7.843388	0.000000		-0.000000							0.000003																																									-0.000001	7.094070																					0.000000	
 2 	 1														0.000000	0.000000																																																										-0.000001																										-0.000000								-14.937473			-0.000001					-0.000001									0.000004	7.843388	0.000000		-0.000000							0.000002																																									-0.000004	7.094086																					0.000000	
