Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	GAS	GAS_RE	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	H2_RE	AMMONIA	METHANOL	AMMONIA_RE	METHANOL_RE	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATM	CO2_INDUSTRY	CO2_CAPTURED	PT_HEAT	ST_HEAT	NUCLEAR	CCGT	CCGT_AMMONIA	COAL_US	COAL_IGCC	BIOMASS_TO_POWER	PV_ROOFTOP	PV_UTILITY	PT_POWER_BLOCK	ST_POWER_BLOCK	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_DAM	HYDRO_RIVER	TIDAL	WAVE	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	COAL_STOVE	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	DEC_THHP_GAS_COLD	DEC_ELEC_COLD	IND_ELEC_COLD	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_GASOLINE	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	MOTORCYCLE	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	MOTORCYCLE_ELECTRIC	CAR_BEV	CAR_FUEL_CELL	TRAIN_FREIGHT	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRUCK_DIESEL	TRUCK_GASOLINE	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	HABER_BOSCH	OIL_TO_HVC	GAS_TO_HVC	BIOMASS_TO_HVC	METHANOL_TO_HVC	SYN_METHANOLATION	METHANE_TO_METHANOL	BIOMASS_TO_METHANOL	EFFICIENCY	DHN	GRID	HVAC_LINE	PT_COLLECTOR	ST_COLLECTOR	H2_ELECTROLYSIS	SMR	H2_BIOMASS	GASIFICATION_SNG	SYN_METHANATION	BIOMETHANATION	BIO_HYDROLYSIS	PYROLYSIS_TO_LFO	PYROLYSIS_TO_FUELS	ATM_CCS	INDUSTRY_CCS	AMMONIA_TO_H2	DAM_STORAGE_Pin	DAM_STORAGE_Pout	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_COAL_STOVE_Pin	TS_COAL_STOVE_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	PT_STORAGE_Pin	PT_STORAGE_Pout	ST_STORAGE_Pin	ST_STORAGE_Pout	TS_COLD_Pin	TS_COLD_Pout	CAES_Pin	CAES_Pout	END_USE	
 1 	 1			16.114738		0.000001																																																																															-0.177843								-0.278536												-15.657606																																																																										-0.004239	0.003487																			0.000000	
 1 	 2			15.841098		0.000001																																																																															-0.071198								-0.111509												-15.657606																																																																										-0.004299	0.003514																			0.000000	
 1 	 3			15.749447		0.000001																																																																															-0.035447								-0.055517												-15.657606																																																																										-0.004352	0.003476																			0.000000	
 1 	 4			16.754443		0.000001																																																																															-0.427188								-0.669056												-15.657606																																																																										-0.004150	0.003556																			0.000000	
 1 	 5			18.581415		0.000001																																																																															-1.139167								-1.784150												-15.657606																																																																										-0.004088	0.003595																			0.000000	
 1 	 6			22.966137		0.000001																																																																															-2.847918								-4.460375												-15.657606																																																																										-0.003983	0.003745																			0.000000	
 1 	 7			29.815246		0.000001																																																																															-5.517083								-8.640791												-15.657606																																																																										-0.003742	0.003976																			0.000000	
 1 	 8			27.988748		0.000001																																																																															-4.805195								-7.525839												-15.657606																																																																										-0.003920	0.003811																			0.000000	
 1 	 9			27.075433		0.000001																																																																															-4.449266								-6.968387												-15.657606																																																																										-0.003956	0.003782																			0.000000	
 1 	 10			28.445577		0.000001																																																																															-4.983190								-7.804613												-15.657606																																																																										-0.003955	0.003786																			0.000000	
 1 	 11			30.272025		0.000001																																																																															-5.695048								-8.919517												-15.657606																																																																										-0.003799	0.003944																			0.000000	
 1 	 12			31.733514		0.000001																																																																															-6.264571								-9.811497												-15.657606																																																																										-0.003791	0.003950																			0.000000	
 1 	 13			30.272087		0.000001																																																																															-5.695048								-8.919517												-15.657606																																																																										-0.003831	0.003914																			0.000000	
 1 	 14			30.454819		0.000001																																																																															-5.766246								-9.031026												-15.657606																																																																										-0.003843	0.003902																			0.000000	
 1 	 15			32.281641		0.000001																																																																															-6.478134								-10.145978												-15.657606																																																																										-0.003834	0.003910																			0.000000	
 1 	 16			33.012409		0.000001																																																																															-6.762896								-10.591968												-15.657606																																																																										-0.003842	0.003902																			0.000000	
 1 	 17			33.012447		0.000001																																																																															-6.762896								-10.591968												-15.657606																																																																										-0.003860	0.003882																			0.000000	
 1 	 18			28.445852		0.000001																																																																															-4.983190								-7.804613												-15.657606																																																																										-0.004095	0.003651																			0.000000	
 1 	 19			24.792320		0.000001																																																																															-3.559413								-5.574710												-15.657606																																																																										-0.004171	0.003579																			0.000000	
 1 	 20			22.507878		0.000001																																																																															-2.669166								-4.180415												-15.657606																																																																										-0.004219	0.003528																			0.000000	
 1 	 21			20.222073		0.000001																																																																															-1.778434								-2.785362												-15.657606																																																																										-0.004173	0.003502																			0.000000	
 1 	 22			18.581654		0.000001																																																																															-1.139167								-1.784150												-15.657606																																																																										-0.004205	0.003474																			0.000000	
 1 	 23			17.485438		0.000001																																																																															-0.711979								-1.115094												-15.657606																																																																										-0.004223	0.003464																			0.000000	
 1 	 24			16.389197		0.000001																																																																															-0.284792								-0.446038												-15.657606																																																																										-0.004236	0.003474																			0.000000	
 2 	 1			16.114710		0.000001																																																																															-0.177843								-0.278536												-15.657606																																																																										-0.004220	0.003496																			0.000000	
 2 	 2			15.841031		0.000001																																																																															-0.071198								-0.111509												-15.657606																																																																										-0.004258	0.003541																			0.000000	
 2 	 3			15.749385		0.000001																																																																															-0.035447								-0.055517												-15.657606																																																																										-0.004314	0.003500																			0.000000	
 2 	 4			16.754372		0.000001																																																																															-0.427188								-0.669056												-15.657606																																																																										-0.004111	0.003588																			0.000000	
 2 	 5			18.581332		0.000001																																																																															-1.139167								-1.784150												-15.657606																																																																										-0.004043	0.003634																			0.000000	
 2 	 6			22.966023		0.000001																																																																															-2.847918								-4.460375												-15.657606																																																																										-0.003927	0.003803																			0.000000	
 2 	 7			29.815082		0.000001																																																																															-5.517083								-8.640791												-15.657606																																																																										-0.003665	0.004062																			0.000000	
 2 	 8			27.988619		0.000001																																																																															-4.805195								-7.525839												-15.657606																																																																										-0.003857	0.003878																			0.000000	
 2 	 9			27.075302		0.000001																																																																															-4.449266								-6.968387												-15.657606																																																																										-0.003892	0.003848																			0.000000	
 2 	 10			28.445439		0.000001																																																																															-4.983190								-7.804613												-15.657606																																																																										-0.003887	0.003856																			0.000000	
 2 	 11			30.271862		0.000001																																																																															-5.695048								-8.919517												-15.657606																																																																										-0.003721	0.004030																			0.000000	
 2 	 12			31.733353		0.000001																																																																															-6.264571								-9.811497												-15.657606																																																																										-0.003717	0.004037																			0.000000	
 2 	 13			30.271927		0.000001																																																																															-5.695048								-8.919517												-15.657606																																																																										-0.003756	0.003999																			0.000000	
 2 	 14			30.454660		0.000001																																																																															-5.766246								-9.031026												-15.657606																																																																										-0.003769	0.003987																			0.000000	
 2 	 15			32.281476		0.000001																																																																															-6.478134								-10.145978												-15.657606																																																																										-0.003758	0.003999																			0.000000	
 2 	 16			33.012241		0.000001																																																																															-6.762896								-10.591968												-15.657606																																																																										-0.003764	0.003992																			0.000000	
 2 	 17			33.012276		0.000001																																																																															-6.762896								-10.591968												-15.657606																																																																										-0.003781	0.003974																			0.000000	
