Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	GAS	GAS_RE	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	H2_RE	AMMONIA	METHANOL	AMMONIA_RE	METHANOL_RE	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATM	CO2_INDUSTRY	CO2_CAPTURED	PT_HEAT	ST_HEAT	NUCLEAR	CCGT	CCGT_AMMONIA	COAL_US	COAL_IGCC	PV_ROOFTOP	PV_UTILITY	PT_POWER_BLOCK	ST_POWER_BLOCK	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_DAM	HYDRO_RIVER	TIDAL	WAVE	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	COAL_STOVE	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	DEC_THHP_GAS_COLD	DEC_ELEC_COLD	IND_ELEC_COLD	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_GASOLINE	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	MOTORCYCLE	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	MOTORCYCLE_ELECTRIC	CAR_BEV	CAR_FUEL_CELL	TRAIN_FREIGHT	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRUCK_DIESEL	TRUCK_GASOLINE	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	HABER_BOSCH	OIL_TO_HVC	GAS_TO_HVC	BIOMASS_TO_HVC	METHANOL_TO_HVC	SYN_METHANOLATION	METHANE_TO_METHANOL	BIOMASS_TO_METHANOL	EFFICIENCY	DHN	GRID	HVAC_LINE	PT_COLLECTOR	ST_COLLECTOR	H2_ELECTROLYSIS	SMR	H2_BIOMASS	GASIFICATION_SNG	SYN_METHANATION	BIOMETHANATION	BIO_HYDROLYSIS	PYROLYSIS_TO_LFO	PYROLYSIS_TO_FUELS	ATM_CCS	INDUSTRY_CCS	AMMONIA_TO_H2	DAM_STORAGE_Pin	DAM_STORAGE_Pout	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_COAL_STOVE_Pin	TS_COAL_STOVE_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	PT_STORAGE_Pin	PT_STORAGE_Pout	ST_STORAGE_Pin	ST_STORAGE_Pout	TS_COLD_Pin	TS_COLD_Pout	CAES_Pin	CAES_Pout	END_USE	
 1 	 1	1.170000																			-0.000000											4.080000	0.000004	0.000000		0.000001	0.000000	0.000000	0.000000	0.000209	22.527966	0.000000	5.584032	0.000000			0.000000	0.000000	0.000000	0.000000						-0.000000	-6.747734	10.252150	0.000000	0.000000	0.000000	0.000000						-26.020447		0.000000	0.000000	0.000000	0.000000						-0.000000		-0.000000	-1.380004							-0.046880							-0.000000	-0.116475	-0.000000		-0.772901								-0.000000		-0.000000	-0.000000	-0.000000	-0.283711		-0.000000		0.000000							-0.000000						0.000000	0.000000	0.000000	-0.000000	-0.000000		-5.584032	19.943000	-0.000000	1.391184	-0.000000	0.000000	-0.000000	0.000000	-0.000000	0.000000																																																			-0.000000	3.074454	-27.070819	
 1 	 2	1.170000																			-0.000000											4.080000	0.000004	0.000000		0.000001	0.000000	0.000000	0.000000	0.000005	22.912775	0.000000	5.584032	0.000000			0.000000	0.000000	0.000000	0.000000						-0.000000	-12.234444	10.252150	0.000000	0.000000	0.000000	0.000000						-26.020447		0.000000	0.000000	0.000000	0.000000						-0.000000		-0.000000	-1.380004							-0.018768							-0.000000	-0.046630	-0.000000		-0.772901								-0.000000		-0.000000	-0.000000	-0.000000	-0.283711		-0.000000		0.000000							-0.000000						0.000000	0.000000	0.000000	-0.000000	-0.000000		-5.584032	19.943000	-0.000000	1.719932	-0.000000	0.000000	-0.000001	0.000000	-0.000000	0.000000																																																			-0.000000	6.372505	-25.693470	
 1 	 3	1.170000																			-0.000000											4.080000	0.000004	0.000000		0.000001	0.000000	0.000000	0.000000	0.000003	25.086844	0.000000	5.584032	0.000000			0.000000	0.000000	0.000000	0.000000						-0.000000	-12.234533	10.252150	0.000000	0.000000	0.000000	0.000000						-26.020447		0.000000	0.000000	0.000000	0.000000						-0.000000		-0.000000	-1.380004							-0.009344							-0.000000	-0.023216	-0.000000		-0.772901								-0.000000		-0.000000	-0.000000	-0.000000	-0.283711		-0.000000		0.000000							-0.000000						0.000000	0.000000	0.000000	-0.000000	-0.000000		-5.584032	19.943000	-0.000000	1.620311	-0.000000	0.000000	-0.000001	0.000000	-0.000000	0.000000																																																			-0.000000	3.244855	-24.673016	
 1 	 4	1.170000																			-0.000000											4.080000	0.000004	0.000000		0.000001	0.000000	0.000000	0.000000	0.000002	26.112041	0.000000	5.584032	0.000000			0.000000	0.000000	0.000000	0.000000						-0.000000	-12.234562	10.252150	0.000000	0.000000	0.000000	0.000000						-26.020447		0.000000	0.000000	0.000000	0.000000						-0.000000		-0.000000	-1.380004							-0.112607							-0.000000	-0.279779	-0.000000		-0.772901								-0.000000		-0.000000	-0.000000	-0.000000	-0.283711		-0.000000		0.000000							-0.000000						0.000000	0.000000	0.000000	-0.000000	-0.000000		-5.584032	19.943000	-0.000000	1.705809	-0.000000	0.000000	-0.000001	0.000000	-0.000000	0.000000																																																			-0.000000	1.818257	-23.997257	
 1 	 5	1.170000																			-0.000000											4.080000	0.000004	0.000000		0.000001	0.000000	0.000000	0.000000	0.000002	24.299718	0.000000	5.584032	0.000000			0.000000	0.000000	0.000000	0.000000						-0.000000	-12.234575	10.252150	0.000000	0.000000	0.000000	0.000000						-26.020447		0.000000	0.000000	0.000000	0.000000						-0.000000		-0.000000	-1.380004							-0.300285							-0.000000	-0.746078	-0.000000		-0.772901								-0.000000		-0.000000	-0.000000	-0.000000	-0.283711		-0.000000		0.000000							-0.000000						0.000000	0.000000	0.000000	-0.000000	-0.000000		-5.584032	19.943000	-0.000000	2.320849	-0.000000	0.000000	-0.000001	0.000000	-0.000000	0.000000																																																			-0.000000	3.238119	-23.565845	
 1 	 6	1.170000																			-0.000000											4.080000	0.000004	0.000000		0.000001	0.000000	0.000000	0.000000	0.000002	22.881721	0.000000	5.584032	0.000000			0.000000	0.000000	0.000000	0.000000						-0.000000	-12.234583	10.252150	0.000000	0.000000	0.000000	0.000000						-26.020447		0.000000	0.000000	0.000000	0.000000						-0.000000		-0.000000	-1.380004							-0.750712							-0.000000	-1.865194	-0.000000		-0.772901								-0.000000		-0.000000	-0.000000	-0.000000	-0.283711		-0.000000		0.000000							-0.000000						0.000000	0.000000	0.000000	-0.000000	-0.000000		-5.584032	19.943000	-0.000000	3.996238	-0.000000	0.000000	-0.000001	0.000000	-0.000000	0.000000																																																			-0.000000	4.420681	-23.436248	
 1 	 7	1.170000																			-0.000000											4.080000	0.000004	0.000000		0.000001	0.000000	0.000000	0.000000	0.000002	23.042574	0.000000	5.584032	0.000000			0.000000	0.000000	0.000000	0.000000						-0.000000	-12.234588	10.252150	0.000000	0.000000	0.000000	0.000000						-26.020447		0.000000	0.000000	0.000000	0.000000						-0.000000		-0.000000	-1.380004							-1.454304							-0.000000	-3.613318	-0.000000		-0.772901								-0.000000		-0.000000	-0.000000	-0.000000	-0.283711		-0.000000		0.000000							-0.000000						0.000000	0.000000	0.000000	-0.000000	-0.000000		-5.584032	19.943000	-0.000000	8.054009	-0.000000	0.000000	-0.000001	0.000000	-0.000000	0.000000																																																			-0.000000	2.787240	-23.569711	
 1 	 8	1.170000																			-0.000000											4.080000	0.000004	0.000000		0.000001	0.000000	0.585279	0.000000	0.000003	24.729396	0.000000	5.584032	0.000000			0.000000	0.000000	0.000000	0.000000						-0.000000	-12.234593	10.252150	0.000000	0.000000	0.000000	0.000000						-26.020447		0.000000	0.000000	0.000000	0.000000						-0.000000		-0.000000	-1.380004							-1.266650							-0.000000	-3.147079	-0.000000		-0.772901								-0.000000		-0.000000	-0.000000	-0.000000	-0.283711		-0.000000		0.000000							-0.000000						0.000000	0.000000	0.000000	-0.000000	-0.000000		-5.584032	19.943000	-0.000000	7.553923	-0.000000	0.000000	-0.000000	0.000001	-0.000000	0.000000																																																			-0.000000	0.615011	-23.823386	
 1 	 9	1.170000																			-0.000000											4.080000	0.000004	0.000000		0.000001	0.000000	8.484028	0.000000	0.000006	24.391061	0.000000	5.584032	0.000000			0.000000	0.000000	0.000000	0.000000						-0.000000	-12.234595	10.252150	0.000000	0.000000	0.000000	0.000000						-26.020447		0.000000	0.000000	0.000000	0.000000						-0.000000		-0.000000	-1.380004							-1.172827							-0.000000	-2.913969	-0.000000		-0.772901								-0.000000		-0.000000	-0.000000	-0.000000	-0.283711		-0.000000		0.000000							-0.000000						0.000000	0.000000	0.000000	-0.000000	-0.000000		-5.584032	19.943000	-0.000000	0.527515	-0.000000	0.000000	-0.000000	0.000001	-0.000000	0.000000																																																			-0.000000	0.224823	-24.294137	
 1 	 10	1.170000																			-0.000000											4.080000	0.000004	0.000000		0.000001	0.000000	29.190809	0.000000	0.000001	23.913954	0.000000	5.584032	0.000000			0.000000	0.000000	0.000000	0.000000						-0.000000	-12.234616	10.252150	0.000000	0.000000	0.000000	0.000000						-26.020447		0.000000	0.000000	0.000000	0.000000						-0.000000		-0.000000	-1.380004							-1.313570							-0.000000	-3.263653	-0.000000		-0.772901								-0.000000		-0.000000	-0.000000	-0.000000	-0.283711		-0.000000		0.000000							-0.000000						0.000000	0.000000	0.000000	-0.000000	-0.000000		-5.584032	3.281352	-0.000000	0.000000	-0.000000	0.000000	-0.000000	0.000001	-0.000000	0.000000																																																			-0.000000	0.000000	-26.619373	
