Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	GAS	IMPORTED_GAS	WOOD	WET_BIOMASS	IMPORTED_COAL	LOCAL_COAL	URANIUM	WASTE	H2	H2_RE	AMMONIA	METHANOL	AMMONIA_RE	METHANOL_RE	ELEC_EXPORT	H2_EXPORT	GAS_RE_EXPORT	AMMONIA_EXPORT	METHANOL_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATM	CO2_INDUSTRY	CO2_CAPTURED	PT_HEAT	ST_HEAT	NUCLEAR	CCGT	CCGT_AMMONIA	IMPORTED_COAL_CENTRAL	LOCAL_COAL_CENTRAL	BIOMASS_TO_POWER	PV_ROOFTOP	PV_UTILITY	PT_POWER_BLOCK	ST_POWER_BLOCK	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_DAM	HYDRO_RIVER	TIDAL	WAVE	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	COAL_STOVE	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	DEC_THHP_GAS_COLD	DEC_ELEC_COLD	IND_ELEC_COLD	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_GASOLINE	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	MOTORCYCLE	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	MOTORCYCLE_ELECTRIC	CAR_BEV	CAR_FUEL_CELL	TRAIN_FREIGHT	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRUCK_DIESEL	TRUCK_GASOLINE	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	HABER_BOSCH	OIL_TO_HVC	GAS_TO_HVC	BIOMASS_TO_HVC	METHANOL_TO_HVC	SYN_METHANOLATION	METHANE_TO_METHANOL	BIOMASS_TO_METHANOL	EFFICIENCY	DHN	GRID	HVAC_LINE	PT_COLLECTOR	ST_COLLECTOR	H2_ELECTROLYSIS	SMR	H2_BIOMASS	GASIFICATION_SNG	SYN_METHANATION	BIOMETHANATION	BIO_HYDROLYSIS	PYROLYSIS_TO_LFO	PYROLYSIS_TO_FUELS	ATM_CCS	INDUSTRY_CCS	AMMONIA_TO_H2	DAM_STORAGE_Pin	DAM_STORAGE_Pout	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_COAL_STOVE_Pin	TS_COAL_STOVE_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	PT_STORAGE_Pin	PT_STORAGE_Pout	ST_STORAGE_Pin	ST_STORAGE_Pout	TS_COLD_Pin	TS_COLD_Pout	CAES_Pin	CAES_Pout	END_USE	
 1 	 1	0.000000																				-0.000000																0.000000	0.000000		0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000001	0.000004	3.952797	6.178123			0.000000	0.000000	0.000000	0.000000						-4.257653	-1.282867	0.000000	0.000000	0.000000	0.000000	0.000000						-0.000006		0.000000	0.000000	0.000000	0.000000						-0.000004		-0.000015	-0.018331	-0.004378						-0.000000						-0.000000	-0.000000	-0.001425	-0.075264		-0.320205								-0.000000		-0.000000	-0.000000	-0.000000	-0.102490		-0.000000		0.000000							-0.000006						0.000000	0.000000	0.000000	-0.000000	-0.000000		-3.952797	14.294897			-0.000001	0.000001	-2.478768	0.075266	-0.000000	0.000000																																																					-12.006881	
 1 	 2	0.000000																				-0.000000																0.000000	0.000000		0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000001	0.000003	3.952797	6.178123			0.000000	0.000000	0.000000	0.000000						-4.257007	-1.282867	0.000000	0.000000	0.000000	0.000000	0.000000						-0.000007		0.000000	0.000000	0.000000	0.000000						-0.000005		-0.003835	-0.018331	-0.001753						-0.000000						-0.000000	-0.000000	-0.000570	-0.030131		-0.320205								-0.000000		-0.000000	-0.000000	-0.000000	-0.102490		-0.000000		0.000000							-0.000006						0.000000	0.000000	0.000000	-0.000000	-0.000000		-3.952797	14.294897			-0.000001	0.000001	-2.554018	0.030133	-0.000000	0.000000																																																					-11.931934	
 1 	 3	0.000000																				-0.000000																0.000000	0.000000		0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000001	0.000003	3.952797	6.178123			0.000000	0.000000	0.000000	0.000000						-4.257031	-1.282867	0.000000	0.000000	0.000000	0.000000	0.000000						-0.000010		0.000000	0.000000	0.000000	0.000000						-0.000006		-0.129294	-0.018331	-0.000873						-0.000000						-0.000000	-0.000000	-0.000284	-0.015002		-0.320205								-0.000000		-0.000000	-0.000000	-0.000000	-0.102490		-0.000000		0.000000							-0.000006						0.000000	0.000000	0.000000	-0.000000	-0.000000		-3.952797	14.294897			-0.000001	0.000001	-2.481385	0.015003	-0.000000	0.000000																																																					-11.880246	
 1 	 4	0.000000																				-0.000000																0.000000	0.000000		0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000001	0.000003	3.952797	6.178123			0.000000	0.000000	0.000000	0.000000						-4.263722	-1.282867	0.000000	0.000000	0.000000	0.000000	0.000000						-0.000015		0.000000	0.000000	0.000000	0.000000						-0.000011		-0.126035	-0.018331	-0.010515						-0.000000						-0.000000	-0.000000	-0.003423	-0.180789		-0.320205								-0.000000		-0.000000	-0.000000	-0.000000	-0.102490		-0.000000		0.000000							-0.000006						0.000000	0.000000	0.000000	-0.000000	-0.000000		-3.952797	14.294897			-0.000001	0.000001	-2.491006	0.180790	-0.000000	0.000000																																																					-11.854402	
 1 	 5	0.000000																				-0.000000																0.000000	0.000000		0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000001	0.000003	3.952797	6.178123			0.000000	0.000000	0.000000	0.000000						-4.550046	-1.282867	0.000000	0.000000	0.000000	0.000000	0.000000						-1.214677		0.000000	0.000000	0.000000	0.000000						-0.000016		-0.125608	-0.018331	-0.028041						-0.000000						-0.000000	-0.000000	-0.009128	-0.482103		-0.320205								-0.000000		-0.000000	-0.000000	-0.000000	-0.102490		-0.000000		0.000000							-0.000006						0.000000	0.000000	0.000000	-0.000000	-0.000000		-3.952797	14.294897			-0.000001	0.000001	-0.918109	0.482105	-0.000000	0.000000																																																					-11.903506	
 1 	 6	0.000000																				-0.000000																0.000000	0.000000		0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000001	0.000003	3.952797	6.178123			0.000000	0.000000	0.000000	0.000000						-4.062467	-1.282867	0.000000	0.000000	0.000000	0.000000	0.000000						-2.434742		0.000000	0.000000	0.000000	0.000000						-0.000016		-0.123652	-0.018331	-0.070102						-0.000000						-0.000000	-0.000000	-0.022820	-1.205257		-0.320205								-0.000000		-0.000000	-0.000000	-0.000000	-0.102490		-0.000000		0.000000							-0.000006						0.000000	0.000000	0.000000	-0.000000	-0.000000		-3.952797	14.294898			-0.000001	0.000001	-0.000023	1.205259	-0.000000	0.000000																																																					-12.035309	
 1 	 7	0.000000																				-0.000000																0.000000	0.000000		0.000000	0.000000	0.029524	2.243254	0.000000	0.000000	0.000001	0.000004	3.952797	6.178123			0.000000	0.000000	0.000000	0.000000						-4.362560	-1.282867	0.000000	0.000000	0.000000	0.000000	0.000000						-2.621170		0.000000	0.000000	0.000000	0.000000						-0.000026		-0.126165	-0.018331	-0.135805						-0.000000						-0.000000	-0.000000	-0.044207	-2.334866		-0.320205								-0.000000		-0.000000	-0.000000	-0.000000	-0.102490		-0.000000		0.000000							-0.000006						0.000000	0.000000	0.000000	-0.000000	-0.000000		-3.952797	14.294897			-0.000001	0.000001	-1.553664	2.334867	-0.000000	0.000000																																																					-12.178311	
 1 	 8	0.000000																				-0.000000																0.000000	0.000000		0.000000	0.000000	0.098044	7.449440	0.000000	0.000000	0.000001	0.000004	3.952797	6.178123			0.000000	0.000000	0.000000	0.000000						-4.363353	-1.282867	0.000000	0.000000	0.000000	0.000000	0.000000						-0.321292		0.000000	0.000000	0.000000	0.000000						-0.000018		-0.161983	-0.018331	-0.118281						-0.000000						-0.000000	-0.000000	-0.038503	-2.033590		-0.320205								-0.000000		-0.000000	-0.000000	-0.000000	-0.102490		-0.000000		0.000000							-0.000007						0.000000	0.000000	0.000000	-0.000000	-0.000000		-3.952797	8.765659			-0.000001	0.000001	-3.231764	2.033591	-0.000000	0.000000																																																					-12.532182	
 1 	 9	0.000000																				-0.000000																0.000000	0.000000		0.000000	0.000000	0.159510	12.119695	0.000000	0.000000	0.000002	0.000004	3.952797	6.178123			0.000000	0.000000	0.000000	0.000000						-4.362927	-1.282867	0.000000	0.000000	0.000000	0.000000	0.000000						-0.321268		0.000000	0.000000	0.000000	0.000000						-0.000014		-0.270039	-0.018331	-0.109520						-0.000000						-0.000000	-0.000000	-0.035651	-1.882958		-0.320205								-0.000000		-0.000000	-0.000000	-0.000000	-0.102490		-0.000000		0.000000							-0.000007						0.000000	0.000000	0.000000	-0.000000	-0.000000		-3.952797	4.476676			-0.000001	0.000001	-3.250162	1.882960	-0.000000	0.000000																																																					-12.860532	
 1 	 10	0.000000																				-0.000000																0.000000	0.000000		0.000000	0.000000	0.199816	15.182157	0.000000	0.000000	0.000002	0.000004	3.952797	6.178123			0.000000	0.000000	0.000000	0.000000						-4.362921	-1.282867	0.000000	0.000000	0.000000	0.000000	0.000000						-0.321354		0.000000	0.000000	0.000000	0.000000						-0.000014		-0.288674	-0.018331	-0.122663						-0.000000						-0.000000	-0.000000	-0.039929	-2.108918		-0.320205								-0.000000		-0.000000	-0.000000	-0.000000	-0.102490		-0.000000		0.000000							-0.000007						0.000000	0.000000	0.000000	-0.000000	-0.000000		-3.952797	1.597711			-0.000001	0.000001	-3.222563	2.108920	-0.000000	0.000000																																																					-13.075800	
