Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	GAS	IMPORTED_GAS	WOOD	WET_BIOMASS	IMPORTED_COAL	LOCAL_COAL	URANIUM	WASTE	H2	H2_RE	AMMONIA	METHANOL	AMMONIA_RE	METHANOL_RE	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATM	CO2_INDUSTRY	CO2_CAPTURED	PT_HEAT	ST_HEAT	NUCLEAR	CCGT	CCGT_AMMONIA	IMPORTED_COAL_CENTRAL	LOCAL_COAL_CENTRAL	BIOMASS_TO_POWER	PV_ROOFTOP	PV_UTILITY	PT_POWER_BLOCK	ST_POWER_BLOCK	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_DAM	HYDRO_RIVER	TIDAL	WAVE	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	COAL_STOVE	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	DEC_THHP_GAS_COLD	DEC_ELEC_COLD	IND_ELEC_COLD	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_GASOLINE	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	MOTORCYCLE	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	MOTORCYCLE_ELECTRIC	CAR_BEV	CAR_FUEL_CELL	TRAIN_FREIGHT	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRUCK_DIESEL	TRUCK_GASOLINE	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	HABER_BOSCH	OIL_TO_HVC	GAS_TO_HVC	BIOMASS_TO_HVC	METHANOL_TO_HVC	METHANE_TO_METHANOL	BIOMASS_TO_METHANOL	EFFICIENCY	H2_INFRASTRUCTURE	CHARGING_STATION	DHN	GRID	HVAC_LINE	PT_COLLECTOR	ST_COLLECTOR	H2_ELECTROLYSIS	SMR	H2_BIOMASS	GASIFICATION_SNG	SYN_METHANATION	BIOMETHANATION	BIO_HYDROLYSIS	PYROLYSIS_TO_LFO	PYROLYSIS_TO_FUELS	ATM_CCS	INDUSTRY_CCS	SYN_METHANOLATION	AMMONIA_TO_H2	DAM_STORAGE_Pin	DAM_STORAGE_Pout	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_COAL_STOVE_Pin	TS_COAL_STOVE_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	PT_STORAGE_Pin	PT_STORAGE_Pout	ST_STORAGE_Pin	ST_STORAGE_Pout	TS_COLD_Pin	TS_COLD_Pout	CAES_Pin	CAES_Pout	END_USE	
 1 	 1		1.733628		0.868577																																																																																		-0.129722					-0.047588	-0.112434														-2.312462																																																																													-0.000003	0.000004																	0.000000	
 1 	 2		1.621639		0.806818																																																																																		-0.051933					-0.019051	-0.045012														-2.312462																																																																													-0.000003	0.000004																	0.000000	
 1 	 3		1.585711		0.784502																																																																																		-0.025856					-0.009485	-0.022410														-2.312462																																																																													-0.000003	0.000004																	0.000000	
 1 	 4		2.040469		0.967971																																																																																		-0.311598					-0.114307	-0.270071														-2.312462																																																																													-0.000003	0.000003																	0.000000	
 1 	 5		2.958487		1.209914																																																																																		-0.830928					-0.304820	-0.720191														-2.312462																																																																													-0.000004	0.000003																	0.000000	
 1 	 6		5.187692		1.764615																																																																																		-2.077319					-0.762049	-1.800476														-2.312462																																																																													-0.000004	0.000003																	0.000000	
 1 	 7		9.233028		2.067900																																																																																		-4.024253					-1.476267	-3.487944														-2.312462																																																																													-0.000004	0.000003																	0.000000	
 1 	 8		8.101144		2.039971																																																																																		-3.504990					-1.285779	-3.037882														-2.312462																																																																													-0.000004	0.000003																	0.000000	
 1 	 9		7.577046		1.984187																																																																																		-3.245369					-1.190539	-2.812861														-2.312462																																																																													-0.000004	0.000003																	0.000000	
 1 	 10		8.416416		2.014689																																																																																		-3.634822					-1.333407	-3.150412														-2.312462																																																																													-0.000003	0.000003																	0.000000	
 1 	 11		9.495997		2.094872																																																																																		-4.154064					-1.523887	-3.600455														-2.312462																																																																													-0.000003	0.000003																	0.000000	
 1 	 12		10.363833		2.154906																																																																																		-4.569483					-1.676281	-3.960512														-2.312462																																																																													-0.000003	0.000003																	0.000000	
 1 	 13		9.498959		2.091909																																																																																		-4.154064					-1.523887	-3.600455														-2.312462																																																																													-0.000003	0.000003																	0.000000	
 1 	 14		9.627661		2.079203																																																																																		-4.205997					-1.542938	-3.645467														-2.312462																																																																													-0.000003	0.000003																	0.000000	
 1 	 15		10.711118		2.155559																																																																																		-4.725260					-1.733426	-4.095528														-2.312462																																																																													-0.000003	0.000003																	0.000000	
 1 	 16		11.197296		2.133316																																																																																		-4.932970					-1.809623	-4.275557														-2.312462																																																																													-0.000003	0.000003																	0.000000	
 1 	 17		11.216514		2.114098																																																																																		-4.932970					-1.809623	-4.275557														-2.312462																																																																													-0.000003	0.000003																	0.000000	
 1 	 18		8.460458		1.970645																																																																																		-3.634822					-1.333407	-3.150412														-2.312462																																																																													-0.000003	0.000004																	0.000000	
 1 	 19		6.343197		1.768281																																																																																		-2.596295					-0.952431	-2.250289														-2.312462																																																																													-0.000003	0.000004																	0.000000	
 1 	 20		5.025516		1.635566																																																																																		-1.946934					-0.714218	-1.687468														-2.312462																																																																													-0.000003	0.000003																	0.000000	
 1 	 21		3.734675		1.475222																																																																																		-1.297220					-0.475875	-1.124340														-2.312462																																																																													-0.000003	0.000003																	0.000000	
 1 	 22		2.915578		1.252822																																																																																		-0.830928					-0.304820	-0.720191														-2.312462																																																																													-0.000003	0.000003																	0.000000	
 1 	 23		2.339428		1.132996																																																																																		-0.519330					-0.190512	-0.450119														-2.312462																																																																													-0.000003	0.000003																	0.000000	
 1 	 24		1.816061		0.960386																																																																																		-0.207732					-0.076205	-0.180048														-2.312462																																																																													-0.000003	0.000003																	0.000000	
 2 	 1		2.130028		0.472178																																																																																		-0.129722					-0.047588	-0.112434														-2.312462																																																																													-0.000003	0.000003																	0.000000	
 2 	 2		1.948344		0.480114																																																																																		-0.051933					-0.019051	-0.045012														-2.312462																																																																													-0.000003	0.000003																	0.000000	
 2 	 3		1.940105		0.430108																																																																																		-0.025856					-0.009485	-0.022410														-2.312462																																																																													-0.000003	0.000004																	0.000000	
 2 	 4		2.554151		0.454288																																																																																		-0.311598					-0.114307	-0.270071														-2.312462																																																																													-0.000003	0.000003																	0.000000	
 2 	 5		3.685731		0.482669																																																																																		-0.830928					-0.304820	-0.720191														-2.312462																																																																													-0.000003	0.000003																	0.000000	
 2 	 6		6.403156		0.549151																																																																																		-2.077319					-0.762049	-1.800476														-2.312462																																																																													-0.000003	0.000003																	0.000000	
 2 	 7		10.734641		0.566286																																																																																		-4.024253					-1.476267	-3.487944														-2.312462																																																																													-0.000003	0.000003																	0.000000	
 2 	 8		9.375782		0.765332																																																																																		-3.504990					-1.285779	-3.037882														-2.312462																																																																													-0.000003	0.000003																	0.000000	
 2 	 9		8.974156		0.587077																																																																																		-3.245369					-1.190539	-2.812861														-2.312462																																																																													-0.000003	0.000003																	0.000000	
 2 	 10		9.924382		0.506722																																																																																		-3.634822					-1.333407	-3.150412														-2.312462																																																																													-0.000003	0.000003																	0.000000	
 2 	 11		11.045388		0.545481																																																																																		-4.154064					-1.523887	-3.600455														-2.312462																																																																													-0.000003	0.000003																	0.000000	
 2 	 12		11.941639		0.577100																																																																																		-4.569483					-1.676281	-3.960512														-2.312462																																																																													-0.000003	0.000003																	0.000000	
 2 	 13		11.005637		0.585231																																																																																		-4.154064					-1.523887	-3.600455														-2.312462																																																																													-0.000003	0.000003																	0.000000	
 2 	 14		11.109425		0.597439																																																																																		-4.205997					-1.542938	-3.645467														-2.312462																																																																													-0.000003	0.000003																	0.000000	
 2 	 15		12.257443		0.609234																																																																																		-4.725260					-1.733426	-4.095528														-2.312462																																																																													-0.000003	0.000003																	0.000000	
 2 	 16		12.720193		0.610419																																																																																		-4.932970					-1.809623	-4.275557														-2.312462																																																																													-0.000003	0.000003																	0.000000	
 2 	 17		12.651073		0.679539																																																																																		-4.932970					-1.809623	-4.275557														-2.312462																																																																													-0.000003	0.000003																	0.000000	
 2 	 18		9.713393		0.717711																																																																																		-3.634822					-1.333407	-3.150412														-2.312462																																																																													-0.000003	0.000003																	0.000000	
 2 	 19		7.529196		0.582282																																																																																		-2.596295					-0.952431	-2.250289														-2.312462																																																																													-0.000003	0.000004																	0.000000	
 2 	 20		6.135086		0.525996																																																																																		-1.946934					-0.714218	-1.687468														-2.312462																																																																													-0.000003	0.000004																	0.000000	
 2 	 21		4.689691		0.520206																																																																																		-1.297220					-0.475875	-1.124340														-2.312462																																																																													-0.000003	0.000004																	0.000000	
 2 	 22		3.633938		0.534461																																																																																		-0.830928					-0.304820	-0.720191														-2.312462																																																																													-0.000003	0.000003																	0.000000	
 2 	 23		2.904848		0.567575																																																																																		-0.519330					-0.190512	-0.450119														-2.312462																																																																													-0.000003	0.000003																	0.000000	
 2 	 24		2.301880		0.474567																																																																																		-0.207732					-0.076205	-0.180048														-2.312462																																																																													-0.000003	0.000003																	0.000000	
 3 	 1		1.517747		1.084458																																																																																		-0.129722					-0.047588	-0.112434														-2.312462																																																																													-0.000003	0.000004																	0.000000	
 3 	 2		1.410135		1.018321																																																																																		-0.051933					-0.019051	-0.045012														-2.312462																																																																													-0.000002	0.000005																	0.000000	
