Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	GAS	GAS_RE	WOOD	WET_BIOMASS	COAL	URANIUM	WASTE	H2	H2_RE	AMMONIA	METHANOL	AMMONIA_RE	METHANOL_RE	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATM	CO2_INDUSTRY	CO2_CAPTURED	PT_HEAT	ST_HEAT	NUCLEAR	CCGT	CCGT_AMMONIA	COAL_US	COAL_IGCC	BIOMASS_TO_POWER	PV_ROOFTOP	PV_UTILITY	PT_POWER_BLOCK	ST_POWER_BLOCK	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_DAM	HYDRO_RIVER	TIDAL	WAVE	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	COAL_STOVE	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	DEC_THHP_GAS_COLD	DEC_ELEC_COLD	IND_ELEC_COLD	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_GASOLINE	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	MOTORCYCLE	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	MOTORCYCLE_ELECTRIC	CAR_BEV	CAR_FUEL_CELL	TRAIN_FREIGHT	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRUCK_DIESEL	TRUCK_GASOLINE	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	HABER_BOSCH	OIL_TO_HVC	GAS_TO_HVC	BIOMASS_TO_HVC	METHANOL_TO_HVC	SYN_METHANOLATION	METHANE_TO_METHANOL	BIOMASS_TO_METHANOL	EFFICIENCY	DHN	GRID	HVAC_LINE	PT_COLLECTOR	ST_COLLECTOR	H2_ELECTROLYSIS	SMR	H2_BIOMASS	GASIFICATION_SNG	SYN_METHANATION	BIOMETHANATION	BIO_HYDROLYSIS	PYROLYSIS_TO_LFO	PYROLYSIS_TO_FUELS	ATM_CCS	INDUSTRY_CCS	AMMONIA_TO_H2	DAM_STORAGE_Pin	DAM_STORAGE_Pout	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_COAL_STOVE_Pin	TS_COAL_STOVE_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	PT_STORAGE_Pin	PT_STORAGE_Pout	ST_STORAGE_Pin	ST_STORAGE_Pout	TS_COLD_Pin	TS_COLD_Pout	CAES_Pin	CAES_Pout	END_USE	
 1 	 1			16.113914		0.000001																																																																															-0.177843								-0.278536												-15.657606																																																																										-0.005666	0.005738																			0.000000	
 1 	 2			15.840371		0.000001																																																																															-0.071198								-0.111509												-15.657606																																																																										-0.005746	0.005688																			0.000000	
 1 	 3			15.748624		0.000001																																																																															-0.035447								-0.055517												-15.657606																																																																										-0.005744	0.005690																			0.000000	
 1 	 4			16.753704		0.000001																																																																															-0.427188								-0.669056												-15.657606																																																																										-0.005642	0.005787																			0.000000	
 1 	 5			18.580824		0.000001																																																																															-1.139167								-1.784150												-15.657606																																																																										-0.005667	0.005765																			0.000000	
 1 	 6			22.965866		0.000001																																																																															-2.847918								-4.460375												-15.657606																																																																										-0.005703	0.005735																			0.000000	
 1 	 7			29.815566		0.000001																																																																															-5.517083								-8.640791												-15.657606																																																																										-0.005691	0.005605																			0.000000	
 1 	 8			27.988718		0.000001																																																																															-4.805195								-7.525839												-15.657606																																																																										-0.005678	0.005599																			0.000000	
 1 	 9			27.075306		0.000001																																																																															-4.449266								-6.968387												-15.657606																																																																										-0.005663	0.005615																			0.000000	
 1 	 10			28.445490		0.000001																																																																															-4.983190								-7.804613												-15.657606																																																																										-0.005675	0.005593																			0.000000	
 1 	 11			30.272260		0.000001																																																																															-5.695048								-8.919517												-15.657606																																																																										-0.005679	0.005590																			0.000000	
 1 	 12			31.733768		0.000001																																																																															-6.264571								-9.811497												-15.657606																																																																										-0.005682	0.005587																			0.000000	
 1 	 13			30.272264		0.000001																																																																															-5.695048								-8.919517												-15.657606																																																																										-0.005682	0.005588																			0.000000	
 1 	 14			30.454973		0.000001																																																																															-5.766246								-9.031026												-15.657606																																																																										-0.005683	0.005587																			0.000000	
 1 	 15			32.281819		0.000001																																																																															-6.478134								-10.145978												-15.657606																																																																										-0.005687	0.005585																			0.000000	
 1 	 16			33.012574		0.000001																																																																															-6.762896								-10.591968												-15.657606																																																																										-0.005689	0.005584																			0.000000	
 1 	 17			33.012575		0.000001																																																																															-6.762896								-10.591968												-15.657606																																																																										-0.005691	0.005586																			0.000000	
 1 	 18			28.445501		0.000001																																																																															-4.983190								-7.804613												-15.657606																																																																										-0.005690	0.005597																			0.000000	
 1 	 19			24.791744		0.000001																																																																															-3.559413								-5.574710												-15.657606																																																																										-0.005733	0.005716																			0.000000	
 1 	 20			22.507144		0.000001																																																																															-2.669166								-4.180415												-15.657606																																																																										-0.005693	0.005735																			0.000000	
 1 	 21			20.221323		0.000001																																																																															-1.778434								-2.785362												-15.657606																																																																										-0.005673	0.005751																			0.000000	
 1 	 22			18.580816		0.000001																																																																															-1.139167								-1.784150												-15.657606																																																																										-0.005659	0.005765																			0.000000	
 1 	 23			17.484549		0.000001																																																																															-0.711979								-1.115094												-15.657606																																																																										-0.005647	0.005777																			0.000000	
 1 	 24			16.388276		0.000001																																																																															-0.284792								-0.446038												-15.657606																																																																										-0.005633	0.005791																			0.000000	
 2 	 1			16.113936		0.000001																																																																															-0.177843								-0.278536												-15.657606																																																																										-0.005680	0.005730																			0.000000	
 2 	 2			15.840383		0.000001																																																																															-0.071198								-0.111509												-15.657606																																																																										-0.005754	0.005683																			0.000000	
 2 	 3			15.748636		0.000001																																																																															-0.035447								-0.055517												-15.657606																																																																										-0.005752	0.005686																			0.000000	
 2 	 4			16.753741		0.000001																																																																															-0.427188								-0.669056												-15.657606																																																																										-0.005663	0.005771																			0.000000	
 2 	 5			18.580857		0.000001																																																																															-1.139167								-1.784150												-15.657606																																																																										-0.005686	0.005751																			0.000000	
 2 	 6			22.965891		0.000001																																																																															-2.847918								-4.460375												-15.657606																																																																										-0.005717	0.005725																			0.000000	
 2 	 7			29.815584		0.000001																																																																															-5.517083								-8.640791												-15.657606																																																																										-0.005697	0.005592																			0.000000	
 2 	 8			27.988737		0.000001																																																																															-4.805195								-7.525839												-15.657606																																																																										-0.005684	0.005586																			0.000000	
 2 	 9			27.075312		0.000001																																																																															-4.449266								-6.968387												-15.657606																																																																										-0.005666	0.005613																			0.000000	
 2 	 10			28.445505		0.000001																																																																															-4.983190								-7.804613												-15.657606																																																																										-0.005679	0.005582																			0.000000	
 2 	 11			30.272271		0.000001																																																																															-5.695048								-8.919517												-15.657606																																																																										-0.005681	0.005580																			0.000000	
 2 	 12			31.733776		0.000001																																																																															-6.264571								-9.811497												-15.657606																																																																										-0.005683	0.005580																			0.000000	
 2 	 13			30.272272		0.000001																																																																															-5.695048								-8.919517												-15.657606																																																																										-0.005682	0.005581																			0.000000	
 2 	 14			30.454980		0.000001																																																																															-5.766246								-9.031026												-15.657606																																																																										-0.005683	0.005581																			0.000000	
 2 	 15			32.281822		0.000001																																																																															-6.478134								-10.145978												-15.657606																																																																										-0.005685	0.005581																			0.000000	
 2 	 16			33.012574		0.000001																																																																															-6.762896								-10.591968												-15.657606																																																																										-0.005686	0.005582																			0.000000	
 2 	 17			33.012573		0.000001																																																																															-6.762896								-10.591968												-15.657606																																																																										-0.005689	0.005584																			0.000000	
