Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	LFO	GAS	IMPORTED_GAS	WOOD	WET_BIOMASS	IMPORTED_COAL	LOCAL_COAL	URANIUM	WASTE	H2	H2_RE	AMMONIA	METHANOL	AMMONIA_RE	METHANOL_RE	ELEC_EXPORT	H2_EXPORT	GAS_RE_EXPORT	AMMONIA_EXPORT	METHANOL_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATM	CO2_INDUSTRY	CO2_CAPTURED	PT_HEAT	ST_HEAT	NUCLEAR	CCGT	CCGT_AMMONIA	IMPORTED_COAL_CENTRAL	LOCAL_COAL_CENTRAL	BIOMASS_TO_POWER	PV_ROOFTOP	PV_UTILITY	PT_POWER_BLOCK	ST_POWER_BLOCK	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_DAM	HYDRO_RIVER	TIDAL	WAVE	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	COAL_STOVE	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	DEC_THHP_GAS_COLD	DEC_ELEC_COLD	IND_ELEC_COLD	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_GASOLINE	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	TRAIN_PUB	MOTORCYCLE	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	MOTORCYCLE_ELECTRIC	CAR_BEV	CAR_FUEL_CELL	TRAIN_FREIGHT	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRUCK_DIESEL	TRUCK_GASOLINE	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	HABER_BOSCH	OIL_TO_HVC	GAS_TO_HVC	BIOMASS_TO_HVC	METHANOL_TO_HVC	SYN_METHANOLATION	METHANE_TO_METHANOL	BIOMASS_TO_METHANOL	EFFICIENCY	H2_INFRASTRUCTURE	CHARGING_STATION	DHN	GRID	HVAC_LINE	PT_COLLECTOR	ST_COLLECTOR	H2_ELECTROLYSIS	SMR	H2_BIOMASS	GASIFICATION_SNG	SYN_METHANATION	BIOMETHANATION	BIO_HYDROLYSIS	PYROLYSIS_TO_LFO	PYROLYSIS_TO_FUELS	ATM_CCS	INDUSTRY_CCS	AMMONIA_TO_H2	DAM_STORAGE_Pin	DAM_STORAGE_Pout	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_COAL_STOVE_Pin	TS_COAL_STOVE_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	PT_STORAGE_Pin	PT_STORAGE_Pout	ST_STORAGE_Pin	ST_STORAGE_Pout	TS_COLD_Pin	TS_COLD_Pout	CAES_Pin	CAES_Pout	END_USE	
 1 	 1						15.663347																																																				-0.000000												-0.000000						-0.000000						-0.000001																																		-6.515566																						0.000000																																																			-9.147779	0.000000															0.000000	
 1 	 2						15.658108																																																				-0.000000												-0.000000						-0.000000						-0.000001																																		-6.515566																						0.000000																																																			-9.142541	0.000000															0.000000	
 1 	 3						15.652208																																																				-0.000000												-0.000000						-0.000000						-0.000001																																		-6.515566																						0.000000																																																			-9.136641	0.000000															0.000000	
 1 	 4						15.647183																																																				-0.000000												-0.000000						-0.000000						-0.000001																																		-6.515566																						0.000000																																																			-9.131616	0.000000															0.000000	
 1 	 5						15.641548																																																				-0.000000												-0.000000						-0.000000						-0.000001																																		-6.515566																						0.000000																																																			-9.125981	0.000000															0.000000	
 1 	 6						15.636096																																																				-0.000000												-0.000000						-0.000000						-0.000001																																		-6.515566																						0.000000																																																			-9.120529	0.000000															0.000000	
 1 	 7						15.630785																																																				-0.000000												-0.000000						-0.000000						-0.000001																																		-6.515566																						0.000000																																																			-9.115218	0.000000															0.000000	
 1 	 8						15.625225																																																				-0.000000												-0.000000						-0.000000						-0.000001																																		-6.515566																						0.000000																																																			-9.109658	0.000000															0.000000	
 1 	 9						15.620146																																																				-0.000000												-0.000000						-0.000000						-0.000001																																		-6.515566																						0.000000																																																			-9.104579	0.000000															0.000000	
 1 	 10						15.614874																																																				-0.000000												-0.000000						-0.000000						-0.000001																																		-6.515566																						0.000000																																																			-9.099307	0.000000															0.000000	
 1 	 11						15.609502																																																				-0.000000												-0.000000						-0.000000						-0.000001																																		-6.515566																						0.000000																																																			-9.093935	0.000000															0.000000	
 1 	 12						15.604118																																																				-0.000000												-0.000000						-0.000000						-0.000001																																		-6.515566																						0.000000																																																			-9.088550	0.000000															0.000000	
 1 	 13						15.598776																																																				-0.000000												-0.000000						-0.000000						-0.000001																																		-6.515566																						0.000000																																																			-9.083208	0.000000															0.000000	
 1 	 14						15.593413																																																				-0.000000												-0.000000						-0.000000						-0.000001																																		-6.515566																						0.000000																																																			-9.077846	0.000000															0.000000	
 1 	 15						15.588033																																																				-0.000000												-0.000000						-0.000000						-0.000001																																		-6.515566																						0.000000																																																			-9.072466	0.000000															0.000000	
 1 	 16						15.582661																																																				-0.000000												-0.000000						-0.000000						-0.000001																																		-6.515566																						0.000000																																																			-9.067094	0.000000															0.000000	
 1 	 17						15.577287																																																				-0.000000												-0.000000						-0.000000						-0.000001																																		-6.515566																						0.000000																																																			-9.061720	0.000000															0.000000	
 1 	 18						15.571881																																																				-0.000000												-0.000000						-0.000000						-0.000001																																		-6.515566																						0.000000																																																			-9.056313	0.000000															0.000000	
 1 	 19						15.566303																																																				-0.000000												-0.000000						-0.000000						-0.000001																																		-6.515566																						0.000000																																																			-9.050736	0.000000															0.000000	
 1 	 20						15.560646																																																				-0.000000												-0.000000						-0.000000						-0.000001																																		-6.515566																						0.000000																																																			-9.045079	0.000000															0.000000	
 1 	 21						15.555130																																																				-0.000000												-0.000000						-0.000000						-0.000001																																		-6.515566																						0.000000																																																			-9.039563	0.000000															0.000000	
 1 	 22						15.549917																																																				-0.000000												-0.000000						-0.000000						-0.000001																																		-6.515566																						0.000000																																																			-9.034350	0.000000															0.000000	
 1 	 23						15.545015																																																				-0.000000												-0.000000						-0.000000						-0.000001																																		-6.515566																						0.000000																																																			-9.029448	0.000000															0.000000	
 1 	 24						15.538494																																																				-0.000000												-0.000000						-0.000000						-0.000001																																		-6.515566																						0.000000																																																			-9.022927	0.000000															0.000000	
 2 	 1						4.948718																																																				-0.000000												-0.000000						-0.000000						-0.000001																																		-6.515566																						0.000000																																																			0.000000	1.566849															0.000000	
 2 	 2						4.952553																																																				-0.000000												-0.000000						-0.000000						-0.000001																																		-6.515566																						0.000000																																																			0.000000	1.563014															0.000000	
 2 	 3						4.958136																																																				-0.000000												-0.000000						-0.000000						-0.000001																																		-6.515566																						0.000000																																																			0.000000	1.557431															0.000000	
 2 	 4						4.961769																																																				-0.000000												-0.000000						-0.000000						-0.000001																																		-6.515566																						0.000000																																																			0.000000	1.553798															0.000000	
 2 	 5						4.960489																																																				-0.000000												-0.000000						-0.000000						-0.000001																																		-6.515566																						0.000000																																																			0.000000	1.555078															0.000000	
 2 	 6						4.958389																																																				-0.000000												-0.000000						-0.000000						-0.000001																																		-6.515566																						0.000000																																																			0.000000	1.557178															0.000000	
 2 	 7						4.956712																																																				-0.000000												-0.000000						-0.000000						-0.000001																																		-6.515566																						0.000000																																																			0.000000	1.558855															0.000000	
 2 	 8						4.955063																																																				-0.000000												-0.000000						-0.000000						-0.000001																																		-6.515566																						0.000000																																																			0.000000	1.560504															0.000000	
 2 	 9						4.953311																																																				-0.000000												-0.000000						-0.000000						-0.000001																																		-6.515566																						0.000000																																																			0.000000	1.562256															0.000000	
 2 	 10						4.951658																																																				-0.000000												-0.000000						-0.000000						-0.000001																																		-6.515566																						0.000000																																																			0.000000	1.563909															0.000000	
 2 	 11						4.949926																																																				-0.000000												-0.000000						-0.000000						-0.000000																																		-6.515566																						0.000000																																																			0.000000	1.565640															0.000000	
 2 	 12						4.947992																																																				-0.000000												-0.000000						-0.000000						-0.000000																																		-6.515566																						0.000000																																																			0.000000	1.567575															0.000000	
