TECHNOLOGIES	 c_inv	 c_maint	 lifetime	  f_min	 f	 f_max	 fmin_perc	f_perc	 fmax_perc	 c_p	 c_p_max	 tau	 gwp_constr
 UNITS	[M€/GW]	 [M€/GW/y]	 [y]	 [GW or GWh]	 [GW or GWh]	 [GW or GWh]	 [0-1]	 [0-1]	 [0-1]	 [0-1]	 [0-1]	 [-]	 [ktCO2-eq./GW or GWh] 
NUCLEAR	0.000000	0.000000	60.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.843906	0.025393	0.000000
CCGT	16519.200000	394.606237	25.000000	8.170000	20.000000	20.000000	0.000000	0.185085	1.000000	0.316157	0.955769	0.048263	3675.800000
CCGT_AMMONIA	0.000000	0.000000	25.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.590000	0.048263	0.000000
COAL_US	0.000000	0.000000	35.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.862792	0.036934	0.000000
COAL_IGCC	71249.375698	1040.505347	35.000000	15.000000	21.258000	21.258000	0.000000	0.388612	1.000000	0.624536	0.850864	0.036934	7049.152800
BIOMASS_TO_POWER	0.000000	0.000000	35.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.868000	0.036934	0.000000
PV_ROOFTOP	4423.630767	58.311497	25.000000	5.995000	5.995000	5.995000	0.000000	0.030700	1.000000	0.174951	1.000000	0.048263	12478.172850
PV_UTILITY	0.000000	0.000000	25.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	1.000000	0.048263	0.000000
PT_POWER_BLOCK	0.000000	0.000000	25.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	1.000000	0.048263	0.000000
ST_POWER_BLOCK	0.000000	0.000000	25.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	1.000000	0.048263	0.000000
WIND_ONSHORE	8668.618360	127.680620	30.000000	7.591000	7.591000	7.591000	0.000000	0.073951	1.000000	0.332818	1.000000	0.041639	4728.054350
WIND_OFFSHORE	0.000000	0.000000	30.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	1.000000	0.041639	0.000000
HYDRO_DAM	65854.359430	329.245201	40.000000	15.000000	15.676999	15.677000	0.000000	0.160683	1.000000	0.350163	1.000000	0.033427	26539.278351
HYDRO_RIVER	64706.142283	647.004965	40.000000	12.800000	12.826000	12.826000	0.000000	0.131113	1.000000	0.349235	1.000000	0.033427	16196.928910
TIDAL	0.000000	0.000000	40.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	1.000000	0.033427	0.000000
WAVE	0.000000	0.000000	20.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.058246	0.000000
GEOTHERMAL	10517.232000	170.726400	30.000000	1.200000	1.200000	1.200000	0.000000	0.029856	1.000000	0.850000	0.850000	0.041639	29914.908000
IND_COGEN_GAS	0.000000	0.000000	25.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.844900	0.048263	0.000000
IND_COGEN_WOOD	0.000000	0.000000	25.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.844900	0.048263	0.000000
IND_COGEN_WASTE	0.000000	0.000000	25.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.844900	0.048263	0.000000
IND_BOILER_GAS	385.363466	6.433916	17.000000	5.452075	5.452999	5.453000	0.000000	0.413475	1.000000	0.572481	0.944300	0.067080	67.180952
IND_BOILER_WOOD	0.000000	0.000000	17.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.894600	0.067080	0.000000
IND_BOILER_OIL	0.001329	0.000024	17.000000	0.000000	0.000020	Infinity	0.000000	0.000000	1.000000	0.010830	0.944300	0.067080	0.000249
IND_BOILER_COAL	684.189000	11.402753	17.000000	4.950000	4.950000	4.950000	0.000000	0.586525	1.000000	0.894600	0.894600	0.067080	238.491000
IND_BOILER_WASTE	0.001297	0.000022	17.000000	0.000000	0.000009	Infinity	0.000000	0.000000	1.000000	0.001786	0.894600	0.067080	0.000271
IND_DIRECT_ELEC	0.000000	0.000000	15.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.944300	0.074944	0.000000
DHN_HP_ELEC	0.000000	0.000000	25.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.944300	0.048263	0.000000
DHN_COGEN_GAS	2423.398800	66.806255	25.000000	1.775658	1.780000	1.780000	0.000000	0.230494	1.000000	0.844900	0.844900	0.048263	873.766400
DHN_COGEN_WOOD	19657.259418	678.576114	25.000000	0.000000	16.758821	Infinity	0.000000	0.370907	1.000000	0.144406	0.844900	0.048263	2770.735922
DHN_COGEN_WASTE	62.792609	2.196152	25.000000	0.000000	0.019728	Infinity	0.000000	0.000953	1.000000	0.315070	0.844900	0.048263	12.780226
DHN_COGEN_WET_BIOMASS	0.000000	0.000000	25.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000000	0.745500	0.048263	0.000000
DHN_COGEN_BIO_HYDROLYSIS	0.000000	0.000000	15.000000	0.000000	0.000000	Infinity	0.000000	0.000000	1.000000	0.000000	0.844900	0.074944	0.000000
DHN_BOILER_GAS	0.000000	0.000000	17.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.944300	0.067080	0.000000
DHN_BOILER_WOOD	0.000981	0.000016	17.000000	0.000000	0.000007	Infinity	0.000000	0.000000	1.000000	0.001918	0.894600	0.067080	0.000205
DHN_BOILER_OIL	0.000000	0.000000	17.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.944300	0.067080	0.000000
DHN_DEEP_GEO	4916.417000	173.972000	30.000000	3.050000	3.050000	3.050000	0.000000	0.394948	1.000000	0.844900	0.844900	0.041639	2466.718000
DHN_SOLAR	38.136994	0.043300	30.000000	0.000000	0.100000	0.100000	0.000000	0.002697	1.000000	0.175999	1.000000	0.041639	22.121997
DEC_HP_ELEC	2823.899904	105.253297	18.000000	3.000000	5.000000	5.000000	0.000000	0.046936	1.000000	0.428183	1.000000	0.063806	824.449972
DEC_THHP_GAS	0.000000	0.000000	20.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	1.000000	0.058246	0.000000
DEC_COGEN_GAS	0.000000	0.000000	20.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	1.000000	0.058246	0.000000
